,feature_selection__k,classification__module__hidden_layer_sizes,classification__module__dropout,x_test_fitter__active,score
0,12000,"(10, 10)",0.1,0,0.9991007194244604
1,12000,"(10, 10)",0.1,0,0.9991007194244604
2,12000,"(10, 10)",0.1,1,0.9991007194244604
3,7000,"(7, 7)",0.1,1,0.9991007194244604
4,7000,"(6, 6)",0.15,1,0.9991007194244604
5,10000,"(10, 10)",0.2,1,0.9991007194244604
6,10000,"(7, 7)",0.2,0,0.9989344960202051
7,12000,"(10, 10)",0.1,1,0.9991007194244604
8,10000,"(6, 6)",0.2,1,0.9991007194244604
9,7000,"(10, 10)",0.15,1,0.9989344960202051
10,12000,"(6, 6)",0.2,1,0.9991007194244604
11,12000,"(10, 10)",0.15,1,0.9991007194244604
12,10000,"(8, 8)",0.2,1,0.9989344960202051
