,feature_selection__k,classification__module__hidden_layer_sizes,classification__module__dropout,classification__optimizer__weight_decay,classification__optimizer__lr,x_test_fitter__active,score
0,500,"(6, 5, 3)",0.2,0.03,0.001,1,0.9970238095238095
1,100,"(6, 5, 3)",0.1,0.01,0.001,1,0.9964682539682539
2,500,"(2, 4, 2)",0.2,0.02,0.01,1,0.9970238095238095
3,100,"(2, 4, 2)",0.1,0.03,0.05,1,0.9934920634920634
4,2000,"(2, 4, 2)",0.1,0.01,0.05,1,0.9959126984126985
5,100,"(6, 5, 3)",0.2,0.03,0.05,1,0.9953571428571428
6,2000,"(6, 5, 3)",0.2,0.02,0.05,1,0.996468253968254
7,2000,"(6, 5, 3)",0.1,0.03,0.01,1,0.9970238095238095
8,100,"(6, 5, 3)",0.1,0.01,0.001,1,0.9934920634920634
9,500,"(6, 5, 3)",0.1,0.03,0.01,1,0.9970238095238095
10,2000,"(6, 5, 3)",0.2,0.01,0.05,1,0.9953571428571428
11,2000,"(2, 4, 2)",0.2,0.03,0.01,1,0.9970238095238095
12,100,"(2, 4, 2)",0.2,0.03,0.05,1,0.9934920634920634
13,2000,"(2, 4, 2)",0.2,0.01,0.01,1,0.9970238095238095
14,2000,"(6, 5, 3)",0.2,0.03,0.001,1,0.9970238095238095
15,100,"(2, 4, 2)",0.1,0.02,0.01,1,0.9964682539682539
16,100,"(2, 4, 2)",0.1,0.01,0.001,1,0.625
17,500,"(6, 5, 3)",0.2,0.02,0.01,1,0.9970238095238095
18,2000,"(2, 4, 2)",0.1,0.03,0.001,1,0.9970238095238095
19,500,"(2, 4, 2)",0.2,0.03,0.01,1,0.996468253968254
20,100,"(2, 4, 2)",0.1,0.01,0.001,1,0.9953571428571428
21,500,"(2, 4, 2)",0.1,0.03,0.01,1,0.9970238095238095
22,100,"(2, 4, 2)",0.2,0.03,0.05,1,0.9964682539682539
23,2000,"(6, 5, 3)",0.2,0.02,0.01,1,0.9970238095238095
24,500,"(2, 4, 2)",0.2,0.01,0.001,1,0.9970238095238095
25,100,"(2, 4, 2)",0.1,0.01,0.01,1,0.9964682539682539
26,500,"(2, 4, 2)",0.1,0.01,0.01,1,0.75
27,500,"(2, 4, 2)",0.1,0.01,0.05,1,0.9964682539682539
28,500,"(2, 4, 2)",0.2,0.03,0.05,1,0.9970238095238095
29,100,"(6, 5, 3)",0.2,0.01,0.05,1,0.9953571428571428
30,100,"(6, 5, 3)",0.2,0.01,0.001,1,0.9959126984126985
31,2000,"(2, 4, 2)",0.2,0.03,0.05,1,0.9940476190476191
32,100,"(6, 5, 3)",0.2,0.01,0.01,1,0.9959126984126985
33,100,"(6, 5, 3)",0.1,0.03,0.05,1,0.9959126984126985
34,500,"(6, 5, 3)",0.2,0.01,0.001,1,0.9970238095238095
35,500,"(2, 4, 2)",0.1,0.01,0.05,1,0.9959126984126985
36,2000,"(6, 5, 3)",0.2,0.02,0.05,1,0.996468253968254
37,100,"(6, 5, 3)",0.1,0.02,0.01,1,0.9964682539682539
38,2000,"(2, 4, 2)",0.1,0.01,0.05,1,0.9959126984126985
39,2000,"(2, 4, 2)",0.2,0.01,0.05,1,0.8744444444444445
40,2000,"(2, 4, 2)",0.1,0.01,0.001,1,0.9970238095238095
41,500,"(2, 4, 2)",0.2,0.01,0.01,1,0.9970238095238095
42,2000,"(6, 5, 3)",0.2,0.02,0.05,1,0.9959126984126985
43,500,"(6, 5, 3)",0.2,0.02,0.01,1,0.9964682539682539
44,500,"(6, 5, 3)",0.1,0.03,0.05,1,0.996468253968254
45,100,"(2, 4, 2)",0.2,0.03,0.05,1,0.8744444444444445
46,500,"(2, 4, 2)",0.1,0.02,0.05,1,0.9970238095238095
47,500,"(6, 5, 3)",0.1,0.03,0.001,1,0.8720238095238095
48,500,"(6, 5, 3)",0.1,0.02,0.01,1,0.9970238095238095
49,2000,"(6, 5, 3)",0.2,0.02,0.01,1,0.9970238095238095
50,100,"(6, 5, 3)",0.1,0.02,0.001,1,0.9964682539682539
51,2000,"(6, 5, 3)",0.2,0.03,0.01,1,0.9970238095238095
52,2000,"(6, 5, 3)",0.2,0.02,0.01,1,0.9970238095238095
53,500,"(2, 4, 2)",0.1,0.03,0.01,1,0.8720238095238095
54,500,"(6, 5, 3)",0.1,0.02,0.001,1,0.9970238095238095
55,100,"(6, 5, 3)",0.1,0.01,0.01,1,0.9959126984126985
56,500,"(6, 5, 3)",0.1,0.03,0.05,1,0.9970238095238095
57,100,"(6, 5, 3)",0.1,0.03,0.01,1,0.9964682539682539
58,500,"(2, 4, 2)",0.2,0.03,0.01,1,0.996468253968254
59,100,"(2, 4, 2)",0.1,0.01,0.01,1,0.9953571428571428
60,500,"(2, 4, 2)",0.1,0.01,0.001,1,0.8720238095238095
61,100,"(2, 4, 2)",0.2,0.01,0.001,1,0.9953571428571428
62,500,"(6, 5, 3)",0.1,0.03,0.001,1,0.996468253968254
63,100,"(2, 4, 2)",0.1,0.01,0.05,1,0.9959126984126985
64,100,"(6, 5, 3)",0.1,0.01,0.001,1,0.9959126984126985
